timestamp,fen,n_sim,top_k,depth,threshold_cp,branching_factor_at_root,measured_T_sf_s,observed_total_s,observed_per_sim_s,estimated_time_per_sim_s,estimated_total_s,bestmove_hybrid,cp_hybrid,bestmove_stockfish,cp_stockfish,theoretical_time_per_sim,theoretical_total_time
2025-10-29 11:34:46,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,200,8,8,-100,20,0.011599,2.328481,0.011642,0.092793,18.558613,g1h3,52,e2e4,35,O(b log b + top_k * T_sf + d),O(n_sim * (b log b + top_k * T_sf + d))
2025-10-29 11:34:48,r2q1rk1/pp2bppp/2n1pn2/2bp4/3P4/2N1PN2/PPQ1BPPP/R1B2RK1 w - - 0 10,200,8,8,-100,41,0.001982,1.622001,0.00811,0.015855,3.170933,f3g5,12,d4c5,446,O(b log b + top_k * T_sf + d),O(n_sim * (b log b + top_k * T_sf + d))
